Training: 2021-10-18 11:25:57,577-rank_id: 0
Training: 2021-10-18 12:24:32,345-Speed 43.11 samples/sec   Loss 30.8446   LearningRate 0.0250   Epoch: 0   Global Step: 2050   Required: 0 hours
Training: 2021-10-18 12:24:47,451-Speed 423.76 samples/sec   Loss 30.3208   LearningRate 0.0250   Epoch: 0   Global Step: 2100   Required: 0 hours
Training: 2021-10-18 12:25:02,585-Speed 423.01 samples/sec   Loss 30.6025   LearningRate 0.0250   Epoch: 0   Global Step: 2150   Required: 0 hours
Training: 2021-10-18 12:25:17,707-Speed 423.33 samples/sec   Loss 30.2122   LearningRate 0.0250   Epoch: 0   Global Step: 2200   Required: 0 hours
Training: 2021-10-18 12:25:32,826-Speed 423.37 samples/sec   Loss 30.2675   LearningRate 0.0250   Epoch: 0   Global Step: 2250   Required: 0 hours
Training: 2021-10-18 12:25:47,940-Speed 423.55 samples/sec   Loss 29.7497   LearningRate 0.0250   Epoch: 0   Global Step: 2300   Required: 0 hours
Training: 2021-10-18 12:26:03,066-Speed 423.22 samples/sec   Loss 29.4996   LearningRate 0.0250   Epoch: 0   Global Step: 2350   Required: 0 hours
Training: 2021-10-18 12:26:18,208-Speed 422.76 samples/sec   Loss 29.5276   LearningRate 0.0250   Epoch: 0   Global Step: 2400   Required: 0 hours
Training: 2021-10-18 12:26:33,363-Speed 422.37 samples/sec   Loss 29.2549   LearningRate 0.0250   Epoch: 0   Global Step: 2450   Required: 0 hours
Training: 2021-10-18 12:26:48,558-Speed 421.28 samples/sec   Loss 28.8162   LearningRate 0.0250   Epoch: 0   Global Step: 2500   Required: 0 hours
Training: 2021-10-18 12:27:03,741-Speed 421.62 samples/sec   Loss 28.9548   LearningRate 0.0250   Epoch: 0   Global Step: 2550   Required: 0 hours
Training: 2021-10-18 12:27:18,940-Speed 421.16 samples/sec   Loss 28.6249   LearningRate 0.0250   Epoch: 0   Global Step: 2600   Required: 0 hours
Training: 2021-10-18 12:27:34,155-Speed 420.70 samples/sec   Loss 28.2735   LearningRate 0.0250   Epoch: 0   Global Step: 2650   Required: 0 hours
Training: 2021-10-18 12:27:49,365-Speed 420.90 samples/sec   Loss 27.9396   LearningRate 0.0250   Epoch: 0   Global Step: 2700   Required: 0 hours
Training: 2021-10-18 12:28:04,545-Speed 421.70 samples/sec   Loss 27.6298   LearningRate 0.0250   Epoch: 0   Global Step: 2750   Required: 0 hours
Training: 2021-10-18 12:28:19,741-Speed 421.26 samples/sec   Loss 27.7475   LearningRate 0.0250   Epoch: 0   Global Step: 2800   Required: 0 hours
Training: 2021-10-18 12:28:34,949-Speed 420.93 samples/sec   Loss 27.4136   LearningRate 0.0250   Epoch: 0   Global Step: 2850   Required: 0 hours
Training: 2021-10-18 12:28:50,154-Speed 420.98 samples/sec   Loss 27.2293   LearningRate 0.0250   Epoch: 0   Global Step: 2900   Required: 0 hours
Training: 2021-10-18 12:29:05,358-Speed 421.04 samples/sec   Loss 26.9090   LearningRate 0.0250   Epoch: 0   Global Step: 2950   Required: 0 hours
Training: 2021-10-18 12:29:20,552-Speed 421.30 samples/sec   Loss 26.6740   LearningRate 0.0250   Epoch: 0   Global Step: 3000   Required: 0 hours
Training: 2021-10-18 12:29:35,759-Speed 420.96 samples/sec   Loss 26.5704   LearningRate 0.0250   Epoch: 0   Global Step: 3050   Required: 0 hours
Training: 2021-10-18 12:29:50,976-Speed 420.69 samples/sec   Loss 26.4031   LearningRate 0.0250   Epoch: 0   Global Step: 3100   Required: 0 hours
Training: 2021-10-18 12:30:06,172-Speed 421.26 samples/sec   Loss 26.3815   LearningRate 0.0250   Epoch: 0   Global Step: 3150   Required: 0 hours
Training: 2021-10-18 12:30:21,374-Speed 421.08 samples/sec   Loss 26.1004   LearningRate 0.0250   Epoch: 0   Global Step: 3200   Required: 0 hours
Training: 2021-10-18 12:30:36,579-Speed 421.00 samples/sec   Loss 25.8842   LearningRate 0.0250   Epoch: 0   Global Step: 3250   Required: 0 hours
Training: 2021-10-18 12:30:51,803-Speed 420.47 samples/sec   Loss 25.8450   LearningRate 0.0250   Epoch: 0   Global Step: 3300   Required: 0 hours
Training: 2021-10-18 12:31:07,009-Speed 420.97 samples/sec   Loss 25.4798   LearningRate 0.0250   Epoch: 0   Global Step: 3350   Required: 0 hours
Training: 2021-10-18 12:31:22,212-Speed 421.07 samples/sec   Loss 25.5893   LearningRate 0.0250   Epoch: 0   Global Step: 3400   Required: 0 hours
Training: 2021-10-18 12:31:37,407-Speed 421.30 samples/sec   Loss 25.4659   LearningRate 0.0250   Epoch: 0   Global Step: 3450   Required: 0 hours
Training: 2021-10-18 12:31:52,618-Speed 420.81 samples/sec   Loss 25.1211   LearningRate 0.0250   Epoch: 0   Global Step: 3500   Required: 0 hours
Training: 2021-10-18 12:32:07,834-Speed 420.68 samples/sec   Loss 25.1886   LearningRate 0.0250   Epoch: 0   Global Step: 3550   Required: 0 hours
Training: 2021-10-18 12:32:23,021-Speed 421.51 samples/sec   Loss 24.8340   LearningRate 0.0250   Epoch: 0   Global Step: 3600   Required: 0 hours
Training: 2021-10-18 12:32:38,222-Speed 421.12 samples/sec   Loss 24.7202   LearningRate 0.0250   Epoch: 0   Global Step: 3650   Required: 0 hours
Training: 2021-10-18 12:32:53,426-Speed 421.04 samples/sec   Loss 24.2557   LearningRate 0.0250   Epoch: 0   Global Step: 3700   Required: 0 hours
Training: 2021-10-18 12:33:08,646-Speed 420.58 samples/sec   Loss 24.4596   LearningRate 0.0250   Epoch: 0   Global Step: 3750   Required: 0 hours
Training: 2021-10-18 12:33:23,846-Speed 421.15 samples/sec   Loss 24.3826   LearningRate 0.0250   Epoch: 0   Global Step: 3800   Required: 0 hours
Training: 2021-10-18 12:33:34,073-Pytorch Model Saved in '/output/backbone.pth'
